Inicio: 2025-08-12 08:00:00; Duracion: 1440 min
2025-08-12,08:37:05, Unidad: C°,S1: 15.44, S2: 15.44, S3: 15.44, S4: 15.81, S5: 17.06, S6: 15.56, S7: 15.56, S8: 15.81, S9: 15.75, S10: 15.44, S11: 15.69, S12: 15.25, S13: 15.50, S14: 15.50, S15: 15.63, S16: 15.44, S17: 15.44, S18: 15.38, S19: 15.44, S20: 15.38.
2025-08-12,08:38:05, Unidad: C°,S1: 15.50, S2: 15.44, S3: 15.44, S4: 15.81, S5: 17.06, S6: 15.56, S7: 15.63, S8: 15.75, S9: 15.75, S10: 15.50, S11: 15.56, S12: 15.31, S13: 15.50, S14: 15.50, S15: 15.63, S16: 15.50, S17: 15.50, S18: 15.38, S19: 15.44, S20: 15.38.
2025-08-12,08:39:05, Unidad: C°,S1: 15.44, S2: 15.50, S3: 15.50, S4: 15.81, S5: 17.06, S6: 15.63, S7: 15.56, S8: 15.81, S9: 15.75, S10: 15.44, S11: 15.50, S12: 15.25, S13: 15.56, S14: 15.50, S15: 15.69, S16: 15.50, S17: 15.50, S18: 15.38, S19: 15.44, S20: 15.44.
2025-08-12,08:40:05, Unidad: C°,S1: 15.44, S2: 15.38, S3: 15.50, S4: 15.81, S5: 17.06, S6: 15.63, S7: 15.56, S8: 15.81, S9: 15.81, S10: 15.44, S11: 15.56, S12: 15.31, S13: 15.56, S14: 15.50, S15: 15.69, S16: 15.50, S17: 15.50, S18: 15.44, S19: 15.44, S20: 15.44.
2025-08-12,08:41:05, Unidad: C°,S1: 15.50, S2: 15.50, S3: 15.50, S4: 15.81, S5: 17.06, S6: 15.63, S7: 15.63, S8: 15.75, S9: 15.75, S10: 15.50, S11: 15.63, S12: 15.38, S13: 15.56, S14: 15.56, S15: 15.69, S16: 15.50, S17: 15.50, S18: 15.44, S19: 15.50, S20: 15.44.
2025-08-12,08:42:05, Unidad: C°,S1: 15.44, S2: 15.50, S3: 15.50, S4: 15.81, S5: 17.06, S6: 15.63, S7: 15.63, S8: 15.81, S9: 15.81, S10: 15.50, S11: 15.63, S12: 15.31, S13: 15.56, S14: 15.56, S15: 15.69, S16: 15.50, S17: 15.50, S18: 15.44, S19: 15.50, S20: 15.44.
2025-08-12,08:43:05, Unidad: C°,S1: 15.56, S2: 15.50, S3: 15.50, S4: 15.81, S5: 17.13, S6: 15.63, S7: 15.63, S8: 15.81, S9: 15.69, S10: 15.50, S11: 15.56, S12: 15.38, S13: 15.56, S14: 15.56, S15: 15.69, S16: 15.50, S17: 15.50, S18: 15.44, S19: 15.50, S20: 15.44.
2025-08-12,08:44:05, Unidad: C°,S1: 15.50, S2: 15.44, S3: 15.50, S4: 15.81, S5: 17.13, S6: 15.63, S7: 15.69, S8: 15.81, S9: 15.75, S10: 15.44, S11: 15.75, S12: 15.31, S13: 15.56, S14: 15.56, S15: 15.69, S16: 15.50, S17: 15.50, S18: 15.44, S19: 15.50, S20: 15.44.
2025-08-12,08:45:05, Unidad: C°,S1: 15.50, S2: 15.44, S3: 15.50, S4: 15.88, S5: 17.13, S6: 15.63, S7: 15.56, S8: 15.81, S9: 15.81, S10: 15.50, S11: 15.63, S12: 15.38, S13: 15.56, S14: 15.56, S15: 15.69, S16: 15.50, S17: 15.50, S18: 15.44, S19: 15.50, S20: 15.44.
2025-08-12,08:46:05, Unidad: C°,S1: 15.50, S2: 15.56, S3: 15.50, S4: 15.81, S5: 17.13, S6: 15.63, S7: 15.63, S8: 15.81, S9: 15.75, S10: 15.50, S11: 15.56, S12: 15.31, S13: 15.56, S14: 15.56, S15: 15.75, S16: 15.56, S17: 15.56, S18: 15.44, S19: 15.50, S20: 15.44.
2025-08-12,08:47:05, Unidad: C°,S1: 15.56, S2: 15.50, S3: 15.56, S4: 15.88, S5: 17.13, S6: 15.63, S7: 15.63, S8: 15.81, S9: 15.75, S10: 15.50, S11: 15.69, S12: 15.38, S13: 15.56, S14: 15.56, S15: 15.69, S16: 15.56, S17: 15.56, S18: 15.44, S19: 15.50, S20: 15.44.
2025-08-12,08:48:05, Unidad: C°,S1: 15.50, S2: 15.50, S3: 15.50, S4: 15.81, S5: 17.13, S6: 15.69, S7: 15.63, S8: 15.81, S9: 15.75, S10: 15.50, S11: 15.69, S12: 15.38, S13: 15.56, S14: 15.56, S15: 15.69, S16: 15.56, S17: 15.56, S18: 15.44, S19: 15.50, S20: 15.44.
2025-08-12,08:49:05, Unidad: C°,S1: 15.56, S2: 15.50, S3: 15.56, S4: 15.88, S5: 17.13, S6: 15.63, S7: 15.63, S8: 15.88, S9: 15.75, S10: 15.56, S11: 15.81, S12: 15.38, S13: 15.63, S14: 15.56, S15: 15.75, S16: 15.56, S17: 15.56, S18: 15.44, S19: 15.56, S20: 15.50.
2025-08-12,08:50:05, Unidad: C°,S1: 15.50, S2: 15.50, S3: 15.56, S4: 15.88, S5: 17.19, S6: 15.69, S7: 15.63, S8: 15.81, S9: 15.81, S10: 15.56, S11: 15.81, S12: 15.44, S13: 15.63, S14: 15.56, S15: 15.75, S16: 15.56, S17: 15.56, S18: 15.50, S19: 15.56, S20: 15.50.
2025-08-12,08:51:05, Unidad: C°,S1: 15.56, S2: 15.50, S3: 15.50, S4: 15.88, S5: 17.19, S6: 15.63, S7: 15.69, S8: 15.88, S9: 15.81, S10: 15.56, S11: 15.81, S12: 15.44, S13: 15.63, S14: 15.56, S15: 15.75, S16: 15.56, S17: 15.56, S18: 15.50, S19: 15.56, S20: 15.50.
2025-08-12,08:52:05, Unidad: C°,S1: 15.50, S2: 15.56, S3: 15.56, S4: 15.88, S5: 17.19, S6: 15.63, S7: 15.63, S8: 15.88, S9: 15.81, S10: 15.56, S11: 15.81, S12: 15.44, S13: 15.63, S14: 15.63, S15: 15.75, S16: 15.56, S17: 15.56, S18: 15.50, S19: 15.56, S20: 15.50.
2025-08-12,08:53:05, Unidad: C°,S1: 15.56, S2: 15.63, S3: 15.56, S4: 15.94, S5: 17.19, S6: 15.69, S7: 15.69, S8: 15.88, S9: 15.81, S10: 15.63, S11: 15.81, S12: 15.44, S13: 15.63, S14: 15.63, S15: 15.75, S16: 15.56, S17: 15.56, S18: 15.50, S19: 15.56, S20: 15.50.
2025-08-12,08:54:05, Unidad: C°,S1: 15.56, S2: 15.56, S3: 15.56, S4: 15.94, S5: 17.19, S6: 15.69, S7: 15.69, S8: 15.81, S9: 15.81, S10: 15.63, S11: 15.81, S12: 15.44, S13: 15.63, S14: 15.63, S15: 15.75, S16: 15.56, S17: 15.56, S18: 15.50, S19: 15.56, S20: 15.50.
2025-08-12,08:55:05, Unidad: C°,S1: 15.56, S2: 15.56, S3: 15.56, S4: 15.94, S5: 17.25, S6: 15.69, S7: 15.69, S8: 15.88, S9: 15.81, S10: 15.56, S11: 15.63, S12: 15.44, S13: 15.63, S14: 15.63, S15: 15.75, S16: 15.56, S17: 15.56, S18: 15.50, S19: 15.56, S20: 15.50.
2025-08-12,08:56:05, Unidad: C°,S1: 15.63, S2: 15.56, S3: 15.56, S4: 15.94, S5: 17.19, S6: 15.69, S7: 15.69, S8: 15.88, S9: 15.75, S10: 15.63, S11: 15.75, S12: 15.44, S13: 15.69, S14: 15.63, S15: 15.75, S16: 15.56, S17: 15.63, S18: 15.50, S19: 15.56, S20: 15.50.
2025-08-12,08:57:05, Unidad: C°,S1: 15.56, S2: 15.56, S3: 15.56, S4: 15.88, S5: 17.19, S6: 15.69, S7: 15.69, S8: 15.88, S9: 15.81, S10: 15.63, S11: 15.88, S12: 15.44, S13: 15.63, S14: 15.63, S15: 15.75, S16: 15.56, S17: 15.63, S18: 15.50, S19: 15.56, S20: 15.50.
2025-08-12,08:58:05, Unidad: C°,S1: 15.63, S2: 15.56, S3: 15.56, S4: 15.94, S5: 17.25, S6: 15.69, S7: 15.69, S8: 15.88, S9: 15.81, S10: 15.63, S11: 15.88, S12: 15.44, S13: 15.69, S14: 15.63, S15: 15.81, S16: 15.63, S17: 15.63, S18: 15.56, S19: 15.56, S20: 15.56.
2025-08-12,08:59:05, Unidad: C°,S1: 15.63, S2: 15.56, S3: 15.63, S4: 15.94, S5: 17.19, S6: 15.69, S7: 15.75, S8: 15.94, S9: 15.88, S10: 15.63, S11: 15.75, S12: 15.50, S13: 15.63, S14: 15.63, S15: 15.75, S16: 15.63, S17: 15.63, S18: 15.56, S19: 15.63, S20: 15.56.
2025-08-12,09:00:05, Unidad: C°,S1: 15.56, S2: 15.63, S3: 15.63, S4: 15.94, S5: 17.25, S6: 15.75, S7: 15.69, S8: 15.94, S9: 15.88, S10: 15.69, S11: 15.75, S12: 15.44, S13: 15.69, S14: 15.69, S15: 15.81, S16: 15.63, S17: 15.63, S18: 15.56, S19: 15.63, S20: 15.56.
2025-08-12,09:01:05, Unidad: C°,S1: 15.69, S2: 15.63, S3: 15.63, S4: 15.94, S5: 17.25, S6: 15.75, S7: 15.69, S8: 15.94, S9: 15.81, S10: 15.56, S11: 15.81, S12: 15.50, S13: 15.69, S14: 15.63, S15: 15.81, S16: 15.63, S17: 15.63, S18: 15.56, S19: 15.63, S20: 15.56.
2025-08-12,09:02:05, Unidad: C°,S1: 15.63, S2: 15.63, S3: 15.63, S4: 15.94, S5: 17.25, S6: 15.75, S7: 15.75, S8: 15.94, S9: 15.88, S10: 15.63, S11: 15.81, S12: 15.50, S13: 15.69, S14: 15.63, S15: 15.81, S16: 15.63, S17: 15.63, S18: 15.56, S19: 15.63, S20: 15.56.
2025-08-12,09:03:05, Unidad: C°,S1: 15.63, S2: 15.63, S3: 15.63, S4: 15.94, S5: 17.25, S6: 15.81, S7: 15.69, S8: 15.94, S9: 15.88, S10: 15.63, S11: 15.88, S12: 15.50, S13: 15.69, S14: 15.69, S15: 15.81, S16: 15.63, S17: 15.63, S18: 15.56, S19: 15.63, S20: 15.56.
2025-08-12,09:04:05, Unidad: C°,S1: 15.56, S2: 15.63, S3: 15.63, S4: 15.94, S5: 17.31, S6: 15.75, S7: 15.75, S8: 15.94, S9: 15.88, S10: 15.63, S11: 15.88, S12: 15.50, S13: 15.69, S14: 15.69, S15: 15.81, S16: 15.63, S17: 15.63, S18: 15.56, S19: 15.63, S20: 15.56.
2025-08-12,09:05:05, Unidad: C°,S1: 15.69, S2: 15.69, S3: 15.63, S4: 16.00, S5: 17.25, S6: 15.75, S7: 15.81, S8: 15.94, S9: 15.88, S10: 15.75, S11: 15.88, S12: 15.50, S13: 15.69, S14: 15.69, S15: 15.81, S16: 15.63, S17: 15.69, S18: 15.56, S19: 15.63, S20: 15.56.
2025-08-12,09:06:05, Unidad: C°,S1: 15.56, S2: 15.63, S3: 15.63, S4: 16.00, S5: 17.31, S6: 15.75, S7: 15.75, S8: 15.94, S9: 15.94, S10: 15.63, S11: 15.81, S12: 15.50, S13: 15.69, S14: 15.69, S15: 15.81, S16: 15.69, S17: 15.69, S18: 15.56, S19: 15.63, S20: 15.56.
2025-08-12,09:07:05, Unidad: C°,S1: 15.69, S2: 15.63, S3: 15.63, S4: 16.00, S5: 17.31, S6: 15.75, S7: 15.75, S8: 15.94, S9: 15.94, S10: 15.69, S11: 15.94, S12: 15.50, S13: 15.69, S14: 15.69, S15: 15.81, S16: 15.69, S17: 15.69, S18: 15.56, S19: 15.63, S20: 15.56.
2025-08-12,09:08:05, Unidad: C°,S1: 15.63, S2: 15.69, S3: 15.63, S4: 16.00, S5: 17.31, S6: 15.75, S7: 15.75, S8: 15.94, S9: 15.88, S10: 15.69, S11: 15.88, S12: 15.50, S13: 15.69, S14: 15.69, S15: 15.81, S16: 15.69, S17: 15.69, S18: 15.63, S19: 15.69, S20: 15.56.
2025-08-12,09:09:05, Unidad: C°,S1: 15.69, S2: 15.69, S3: 15.63, S4: 16.00, S5: 17.31, S6: 15.81, S7: 15.81, S8: 15.94, S9: 15.88, S10: 15.69, S11: 16.00, S12: 15.50, S13: 15.75, S14: 15.69, S15: 15.88, S16: 15.69, S17: 15.69, S18: 15.63, S19: 15.69, S20: 15.63.
2025-08-12,09:10:05, Unidad: C°,S1: 15.69, S2: 15.69, S3: 15.69, S4: 16.00, S5: 17.25, S6: 15.81, S7: 15.81, S8: 16.00, S9: 15.94, S10: 15.69, S11: 15.88, S12: 15.50, S13: 15.75, S14: 15.69, S15: 15.88, S16: 15.69, S17: 15.69, S18: 15.63, S19: 15.69, S20: 15.63.
2025-08-12,09:11:05, Unidad: C°,S1: 15.69, S2: 15.63, S3: 15.63, S4: 16.00, S5: 17.31, S6: 15.81, S7: 15.75, S8: 16.00, S9: 15.94, S10: 15.63, S11: 15.75, S12: 15.56, S13: 15.75, S14: 15.75, S15: 15.88, S16: 15.69, S17: 15.69, S18: 15.63, S19: 15.69, S20: 15.63.
2025-08-12,09:12:05, Unidad: C°,S1: 15.69, S2: 15.69, S3: 15.63, S4: 16.00, S5: 17.38, S6: 15.81, S7: 15.81, S8: 15.94, S9: 15.88, S10: 15.63, S11: 15.94, S12: 15.56, S13: 15.75, S14: 15.75, S15: 15.88, S16: 15.69, S17: 15.69, S18: 15.63, S19: 15.69, S20: 15.63.
2025-08-12,09:13:05, Unidad: C°,S1: 15.63, S2: 15.69, S3: 15.63, S4: 16.00, S5: 17.31, S6: 15.81, S7: 15.88, S8: 15.94, S9: 15.94, S10: 15.75, S11: 15.94, S12: 15.56, S13: 15.75, S14: 15.75, S15: 15.88, S16: 15.69, S17: 15.69, S18: 15.63, S19: 15.69, S20: 15.63.
2025-08-12,09:14:05, Unidad: C°,S1: 15.63, S2: 15.69, S3: 15.69, S4: 16.06, S5: 17.31, S6: 15.81, S7: 15.75, S8: 16.06, S9: 15.94, S10: 15.69, S11: 15.94, S12: 15.56, S13: 15.75, S14: 15.75, S15: 15.88, S16: 15.69, S17: 15.69, S18: 15.63, S19: 15.69, S20: 15.63.
2025-08-12,09:15:05, Unidad: C°,S1: 15.69, S2: 15.69, S3: 15.69, S4: 16.06, S5: 17.31, S6: 15.88, S7: 15.75, S8: 16.06, S9: 15.94, S10: 15.69, S11: 15.81, S12: 15.50, S13: 15.75, S14: 15.75, S15: 15.88, S16: 15.69, S17: 15.69, S18: 15.63, S19: 15.69, S20: 15.63.
