Inicio: 2025-09-11 08:00:00; Duracion: 1440 min
1757595710, Unidad: C°,S1: 12.38, S2: 12.25, S3: 12.25, S4: 12.56, S5: 12.38, S6: 12.50, S7: 12.63, S8: 12.38, S9: 12.31, S10: 12.63, S11: 12.06, S12: 12.38, S13: 12.25, S14: 12.38, S15: 12.25, S16: 12.19, S17: 12.13, S18: 12.19, S19: 12.25.
1757595770, Unidad: C°,S1: 12.25, S2: 12.31, S3: 12.25, S4: 12.56, S5: 12.38, S6: 12.50, S7: 12.63, S8: 12.44, S9: 12.31, S10: 12.63, S11: 12.13, S12: 12.38, S13: 12.25, S14: 12.44, S15: 12.31, S16: 12.25, S17: 12.13, S18: 12.25, S19: 12.25.
17:03:21, Unidad: C°,S1: 12.25, S2: 12.25, S3: 12.19, S4: NA, S5: 12.31, S6: 12.44, S7: 12.63, S8: 12.50, S9: NA, S10: 12.63, S11: 12.13, S12: 12.44, S13: 12.31, S14: 12.44, S15: 12.31, S16: 12.25, S17: 12.19, S18: 12.31, S19: 12.25.
17:04:21, Unidad: C°,S1: 12.31, S2: 12.31, S3: 12.31, S4: 12.56, S5: 12.38, S6: 12.56, S7: 12.69, S8: 12.50, S9: 12.31, S10: 12.69, S11: 12.13, S12: 12.44, S13: 12.31, S14: 12.44, S15: 12.31, S16: 12.25, S17: 12.19, S18: 12.31, S19: 12.25.
17:05:21, Unidad: C°,S1: 12.38, S2: 12.31, S3: 12.31, S4: 12.63, S5: 12.38, S6: 12.56, S7: 12.63, S8: 12.50, S9: 12.38, S10: 12.63, S11: 12.13, S12: 12.44, S13: 12.31, S14: 12.44, S15: 12.31, S16: 12.25, S17: 12.19, S18: 12.31, S19: 12.25.
17:06:21, Unidad: C°,S1: 12.44, S2: 12.25, S3: 12.38, S4: 12.63, S5: 12.38, S6: 12.50, S7: 12.69, S8: 12.56, S9: 12.31, S10: 12.69, S11: 12.13, S12: 12.44, S13: 12.31, S14: 12.44, S15: 12.31, S16: 12.25, S17: 12.19, S18: 12.31, S19: 12.31.
1757596067, Unidad: C°,S1: 12.31, S2: 12.31, S3: 12.31, S4: 12.63, S5: 12.38, S6: NA, S7: 12.69, S8: 12.50, S9: 12.38, S10: 12.75, S11: 12.13, S12: 12.50, S13: 12.31, S14: 12.50, S15: 12.31, S16: 12.31, S17: 12.25, S18: 12.31, S19: 12.31.
1757596152, Unidad: C°,S1: 12.38, S2: 12.38, S3: 12.31, S4: 12.63, S5: 12.44, S6: 12.50, S7: NA, S8: 12.56, S9: 12.38, S10: 12.56, S11: 12.19, S12: 12.50, S13: 12.31, S14: 12.50, S15: 12.38, S16: 12.31, S17: 12.25, S18: 12.31, S19: 12.31.
1757596212, Unidad: C°,S1: 12.31, S2: 12.38, S3: 12.38, S4: 12.69, S5: 12.44, S6: 12.50, S7: 12.69, S8: 12.50, S9: 12.44, S10: 12.75, S11: 12.19, S12: 12.50, S13: 12.31, S14: 12.50, S15: 12.38, S16: 12.31, S17: 12.25, S18: 12.31, S19: 12.31.
1757596272, Unidad: C°,S1: 12.38, S2: 12.38, S3: 12.38, S4: 12.69, S5: 12.44, S6: 12.63, S7: 12.69, S8: 12.56, S9: 12.38, S10: 12.75, S11: 12.19, S12: 12.50, S13: 12.38, S14: 12.50, S15: 12.38, S16: 12.31, S17: 12.25, S18: 12.38, S19: 12.31.
