# Inicio: 2025-09-13 08:00:00; Duracion: 1440 min
1757743259, Unidad: C°,S1: 0.06, S2: 0.19, S3: 0.13, S4: 0.75, S5: -0.25, S6: 0.25, S7: 0.63, S8: 0.44, S9: 0.00, S10: 0.69, S11: -0.06, S12: 0.19, S13: 0.31, S14: 0.56, S15: 0.19, S16: 0.00, S17: -0.13, S18: 0.25, S19: 0.06.
1757743319, Unidad: C°,S1: 0.00, S2: 0.19, S3: 0.13, S4: 0.63, S5: -0.25, S6: 0.25, S7: 0.69, S8: 0.44, S9: 0.06, S10: 0.63, S11: -0.06, S12: 0.19, S13: 0.31, S14: 0.56, S15: 0.19, S16: 0.00, S17: -0.13, S18: 0.25, S19: 0.06.
1757743379, Unidad: C°,S1: 0.00, S2: 0.13, S3: 0.19, S4: 0.69, S5: -0.19, S6: 0.19, S7: 0.69, S8: 0.44, S9: 0.00, S10: 0.50, S11: -0.06, S12: 0.19, S13: 0.31, S14: 0.56, S15: 0.19, S16: 0.00, S17: -0.13, S18: 0.25, S19: 0.06.
1757743439, Unidad: C°,S1: 0.00, S2: 0.19, S3: 0.19, S4: 0.63, S5: -0.25, S6: 0.25, S7: 0.69, S8: 0.50, S9: 0.00, S10: 0.69, S11: -0.06, S12: 0.19, S13: 0.31, S14: 0.56, S15: 0.19, S16: 0.00, S17: -0.13, S18: 0.25, S19: 0.06.
1757743499, Unidad: C°,S1: -0.06, S2: 0.13, S3: 0.19, S4: 0.69, S5: -0.25, S6: 0.25, S7: 0.69, S8: 0.44, S9: 0.00, S10: 0.69, S11: -0.06, S12: 0.19, S13: 0.31, S14: 0.56, S15: 0.19, S16: 0.00, S17: -0.13, S18: 0.25, S19: 0.06.
1757743559, Unidad: C°,S1: 0.00, S2: 0.19, S3: 0.19, S4: 0.69, S5: -0.25, S6: 0.19, S7: 0.75, S8: 0.44, S9: 0.06, S10: 0.69, S11: -0.06, S12: 0.19, S13: 0.31, S14: 0.56, S15: 0.19, S16: 0.00, S17: -0.13, S18: 0.25, S19: 0.06.
1757743619, Unidad: C°,S1: 0.06, S2: 0.13, S3: 0.19, S4: 0.69, S5: -0.25, S6: 0.19, S7: 0.63, S8: 0.38, S9: 0.00, S10: 0.69, S11: -0.06, S12: 0.19, S13: 0.31, S14: 0.56, S15: 0.19, S16: 0.00, S17: -0.13, S18: 0.25, S19: 0.06.
1757743679, Unidad: C°,S1: 0.00, S2: 0.13, S3: 0.19, S4: 0.69, S5: -0.25, S6: 0.25, S7: 0.63, S8: 0.44, S9: 0.06, S10: 0.75, S11: -0.06, S12: 0.19, S13: 0.31, S14: 0.56, S15: 0.19, S16: 0.00, S17: -0.13, S18: 0.25, S19: 0.06.
1757743739, Unidad: C°,S1: 0.06, S2: 0.13, S3: 0.19, S4: 0.69, S5: -0.25, S6: 0.25, S7: 0.63, S8: 0.38, S9: 0.00, S10: 0.69, S11: -0.06, S12: 0.19, S13: 0.31, S14: 0.56, S15: 0.19, S16: 0.00, S17: -0.13, S18: 0.25, S19: 0.06.
1757743799, Unidad: C°,S1: 0.06, S2: 0.19, S3: 0.19, S4: 0.69, S5: -0.25, S6: 0.25, S7: 0.69, S8: 0.44, S9: 0.00, S10: 0.69, S11: -0.06, S12: 0.19, S13: 0.31, S14: 0.56, S15: 0.19, S16: 0.00, S17: -0.13, S18: 0.25, S19: 0.06.
1757743859, Unidad: C°,S1: -0.06, S2: 0.19, S3: 0.19, S4: 0.69, S5: -0.31, S6: 0.25, S7: 0.69, S8: 0.44, S9: 0.00, S10: 0.69, S11: -0.06, S12: 0.19, S13: 0.31, S14: 0.56, S15: 0.19, S16: 0.00, S17: -0.13, S18: 0.25, S19: 0.06.
1757743919, Unidad: C°,S1: -0.06, S2: 0.19, S3: 0.19, S4: 0.69, S5: -0.25, S6: 0.25, S7: 0.69, S8: 0.50, S9: 0.06, S10: 0.56, S11: -0.06, S12: 0.19, S13: 0.31, S14: 0.56, S15: 0.19, S16: 0.00, S17: -0.13, S18: 0.25, S19: 0.06.
1757743979, Unidad: C°,S1: 0.00, S2: 0.13, S3: 0.25, S4: 0.69, S5: -0.31, S6: 0.25, S7: 0.69, S8: 0.44, S9: 0.06, S10: 0.69, S11: -0.06, S12: 0.19, S13: 0.31, S14: 0.56, S15: 0.19, S16: 0.00, S17: -0.13, S18: 0.31, S19: 0.06.
1757744039, Unidad: C°,S1: 0.00, S2: 0.13, S3: 0.13, S4: 0.69, S5: -0.25, S6: 0.19, S7: 0.69, S8: 0.44, S9: 0.00, S10: 0.75, S11: -0.06, S12: 0.19, S13: 0.31, S14: 0.56, S15: 0.19, S16: 0.00, S17: -0.13, S18: 0.31, S19: 0.06.
1757744099, Unidad: C°,S1: 0.00, S2: 0.19, S3: 0.13, S4: 0.69, S5: -0.31, S6: 0.25, S7: 0.69, S8: 0.50, S9: 0.00, S10: 0.69, S11: -0.06, S12: 0.19, S13: 0.31, S14: 0.56, S15: 0.19, S16: 0.00, S17: -0.13, S18: 0.25, S19: 0.06.
1757744159, Unidad: C°,S1: 0.06, S2: 0.13, S3: 0.13, S4: 0.69, S5: -0.25, S6: 0.25, S7: 0.69, S8: 0.44, S9: 0.00, S10: 0.75, S11: 0.00, S12: 0.19, S13: 0.31, S14: 0.56, S15: 0.19, S16: 0.00, S17: -0.13, S18: 0.31, S19: 0.06.
1757744219, Unidad: C°,S1: -0.06, S2: 0.19, S3: 0.19, S4: 0.69, S5: -0.25, S6: 0.25, S7: 0.69, S8: 0.44, S9: 0.00, S10: 0.69, S11: 0.00, S12: 0.19, S13: 0.31, S14: 0.56, S15: 0.19, S16: 0.00, S17: -0.13, S18: 0.31, S19: 0.13.
1757744279, Unidad: C°,S1: 0.06, S2: 0.19, S3: 0.19, S4: 0.75, S5: -0.31, S6: 0.19, S7: 0.69, S8: 0.44, S9: 0.06, S10: 0.75, S11: -0.06, S12: 0.19, S13: 0.31, S14: 0.63, S15: 0.19, S16: 0.00, S17: -0.13, S18: 0.31, S19: 0.13.
