# Inicio: 2025-09-12 08:00:00; Duracion: 1440 min
1757656619, Unidad: C°,S1: 0.75, S2: 0.06, S3: -0.06, S4: 0.56, S5: 0.69, S6: 0.69, S7: 0.44, S8: 0.56, S9: 0.63, S10: 0.38, S11: -0.25, S12: 1.13, S13: 0.94, S14: 0.13, S15: 0.06, S16: 0.06, S17: 0.94, S18: 0.06, S19: 0.00.
1757656679, Unidad: C°,S1: 0.75, S2: 0.13, S3: -0.06, S4: 0.56, S5: 0.69, S6: 0.63, S7: 0.44, S8: 0.56, S9: 0.63, S10: 0.38, S11: -0.25, S12: 1.19, S13: 0.94, S14: 0.13, S15: 0.06, S16: 0.06, S17: 0.94, S18: 0.06, S19: 0.00.
1757656739, Unidad: C°,S1: 0.69, S2: 0.13, S3: -0.06, S4: 0.50, S5: 0.69, S6: 0.69, S7: 0.44, S8: 0.56, S9: 0.63, S10: 0.38, S11: -0.25, S12: 1.19, S13: 0.94, S14: 0.13, S15: 0.06, S16: 0.06, S17: 0.94, S18: 0.06, S19: 0.00.
1757656799, Unidad: C°,S1: 0.75, S2: 0.13, S3: -0.06, S4: 0.56, S5: 0.75, S6: 0.69, S7: 0.44, S8: 0.56, S9: 0.69, S10: 0.38, S11: -0.25, S12: 1.19, S13: 0.94, S14: 0.13, S15: 0.06, S16: 0.06, S17: 0.94, S18: 0.06, S19: 0.00.
1757656859, Unidad: C°,S1: 0.75, S2: 0.13, S3: -0.13, S4: 0.56, S5: 0.69, S6: 0.69, S7: 0.44, S8: 0.50, S9: 0.69, S10: 0.44, S11: -0.25, S12: 1.19, S13: 0.94, S14: 0.13, S15: 0.06, S16: 0.06, S17: 0.94, S18: 0.06, S19: 0.00.
1757656919, Unidad: C°,S1: 0.69, S2: 0.06, S3: -0.06, S4: 0.56, S5: 0.69, S6: 0.75, S7: 0.44, S8: 0.56, S9: 0.69, S10: 0.38, S11: -0.25, S12: 1.19, S13: 1.00, S14: 0.13, S15: 0.06, S16: 0.06, S17: 0.94, S18: 0.06, S19: 0.00.
1757656979, Unidad: C°,S1: 0.75, S2: 0.06, S3: -0.06, S4: 0.56, S5: 0.69, S6: 0.69, S7: 0.44, S8: 0.63, S9: 0.69, S10: 0.44, S11: -0.25, S12: 1.19, S13: 1.00, S14: 0.13, S15: 0.06, S16: 0.13, S17: 0.94, S18: 0.06, S19: 0.00.
1757657039, Unidad: C°,S1: 0.69, S2: 0.13, S3: -0.06, S4: 0.50, S5: 0.75, S6: 0.69, S7: 0.44, S8: 0.63, S9: 0.63, S10: 0.44, S11: -0.25, S12: 1.19, S13: 1.00, S14: 0.13, S15: 0.06, S16: 0.06, S17: 0.94, S18: 0.06, S19: 0.00.
1757657099, Unidad: C°,S1: 0.75, S2: 0.13, S3: -0.06, S4: 0.50, S5: 0.75, S6: 0.75, S7: 0.44, S8: 0.63, S9: 0.69, S10: 0.38, S11: -0.25, S12: 1.19, S13: 1.00, S14: 0.13, S15: 0.06, S16: 0.13, S17: 0.94, S18: 0.06, S19: 0.00.
1757657159, Unidad: C°,S1: 0.75, S2: 0.13, S3: -0.06, S4: 0.56, S5: 0.75, S6: 0.75, S7: 0.44, S8: 0.56, S9: 0.69, S10: 0.31, S11: -0.25, S12: 1.19, S13: 1.00, S14: 0.13, S15: 0.06, S16: 0.06, S17: 0.94, S18: 0.06, S19: 0.00.
1757657219, Unidad: C°,S1: 0.69, S2: 0.13, S3: -0.06, S4: 0.50, S5: 0.75, S6: 0.75, S7: 0.44, S8: 0.56, S9: 0.63, S10: 0.44, S11: -0.25, S12: 1.19, S13: 1.00, S14: 0.13, S15: 0.06, S16: 0.06, S17: 0.94, S18: 0.06, S19: 0.00.
1757657279, Unidad: C°,S1: 0.69, S2: 0.13, S3: -0.06, S4: 0.56, S5: 0.75, S6: 0.75, S7: 0.44, S8: 0.63, S9: 0.69, S10: 0.38, S11: -0.25, S12: 1.19, S13: 1.00, S14: 0.13, S15: 0.06, S16: 0.06, S17: 1.00, S18: 0.06, S19: 0.00.
1757657339, Unidad: C°,S1: 0.69, S2: 0.13, S3: 0.00, S4: 0.56, S5: 0.75, S6: 0.75, S7: 0.44, S8: 0.63, S9: 0.69, S10: 0.44, S11: -0.25, S12: 1.19, S13: 1.00, S14: 0.13, S15: 0.06, S16: 0.06, S17: 0.94, S18: 0.06, S19: 0.00.
1757657399, Unidad: C°,S1: 0.69, S2: 0.13, S3: -0.06, S4: 0.56, S5: 0.75, S6: 0.69, S7: 0.44, S8: 0.63, S9: 0.69, S10: 0.38, S11: -0.25, S12: 1.19, S13: 1.00, S14: 0.13, S15: 0.06, S16: 0.13, S17: 1.00, S18: 0.06, S19: 0.00.
